dpsi,dtlook,max_time_norm
2,5,28.196538461527513
4,5,16.951886792456406
6,5,17.48824999999999
10,5,7.9759848484889515
20,5,5.86146153845944
30,5,4.573078947368447
45,5,4.355037174720172
60,5,4.196009104704075
90,5,4.794249999999924
120,5,4.63825493171456
150,5,5.956684210527825
2,10,25.82192307692946
4,10,10.588396226417078
6,10,8.413312499998002
10,10,7.202954545456644
20,10,4.508211538462245
30,10,3.6729342105260194
45,10,3.4816821561337528
60,10,4.587545592705181
90,10,3.4790131578949066
120,10,3.9174924012155055
150,10,4.7130131578950705
2,15,18.745432098764567
4,15,8.433647798740221
6,15,5.361350210970207
10,15,4.471565656567279
20,15,3.6307179487180243
30,15,3.4160964912275884
45,15,3.2967967781910916
60,15,3.294569402228623
90,15,3.2817543859651144
120,15,3.518267477203765
150,15,4.074280701754772
2,20,17.95942307692939
4,20,6.51533018868099
6,20,5.730624999999089
10,20,3.899564393938553
20,20,3.4706538461540055
30,20,3.2593618421055575
45,20,3.196997206703605
60,20,3.1826481762918317
90,20,3.186369908015682
120,20,3.335414133738366
150,20,3.7878289473686513
